date_key,full_date,year,quarter,month,month_name,day,day_name,is_weekend
20160101,2016-01-01,2016,1,1,January,1,Friday,Yes
20160102,2016-01-02,2016,1,1,January,2,Saturday,No
20160103,2016-01-03,2016,1,1,January,3,Sunday,No
20160104,2016-01-04,2016,1,1,January,4,Monday,No
20160105,2016-01-05,2016,1,1,January,5,Tuesday,No
20160106,2016-01-06,2016,1,1,January,6,Wednesday,No
20160107,2016-01-07,2016,1,1,January,7,Thursday,No
20160108,2016-01-08,2016,1,1,January,8,Friday,Yes
20160109,2016-01-09,2016,1,1,January,9,Saturday,No
20160110,2016-01-10,2016,1,1,January,10,Sunday,No
20160111,2016-01-11,2016,1,1,January,11,Monday,No
20160112,2016-01-12,2016,1,1,January,12,Tuesday,No
20160113,2016-01-13,2016,1,1,January,13,Wednesday,No
20160114,2016-01-14,2016,1,1,January,14,Thursday,No
20160115,2016-01-15,2016,1,1,January,15,Friday,Yes
20160116,2016-01-16,2016,1,1,January,16,Saturday,No
20160117,2016-01-17,2016,1,1,January,17,Sunday,No
20160118,2016-01-18,2016,1,1,January,18,Monday,No
20160119,2016-01-19,2016,1,1,January,19,Tuesday,No
20160120,2016-01-20,2016,1,1,January,20,Wednesday,No
20160121,2016-01-21,2016,1,1,January,21,Thursday,No
20160122,2016-01-22,2016,1,1,January,22,Friday,Yes
20160123,2016-01-23,2016,1,1,January,23,Saturday,No
20160124,2016-01-24,2016,1,1,January,24,Sunday,No
20160125,2016-01-25,2016,1,1,January,25,Monday,No
20160126,2016-01-26,2016,1,1,January,26,Tuesday,No
20160127,2016-01-27,2016,1,1,January,27,Wednesday,No
20160128,2016-01-28,2016,1,1,January,28,Thursday,No
20160129,2016-01-29,2016,1,1,January,29,Friday,Yes
20160130,2016-01-30,2016,1,1,January,30,Saturday,No
20160131,2016-01-31,2016,1,1,January,31,Sunday,No
20160201,2016-02-01,2016,1,2,February,1,Monday,No
20160202,2016-02-02,2016,1,2,February,2,Tuesday,No
20160203,2016-02-03,2016,1,2,February,3,Wednesday,No
20160204,2016-02-04,2016,1,2,February,4,Thursday,No
20160205,2016-02-05,2016,1,2,February,5,Friday,Yes
20160206,2016-02-06,2016,1,2,February,6,Saturday,No
20160207,2016-02-07,2016,1,2,February,7,Sunday,No
20160208,2016-02-08,2016,1,2,February,8,Monday,No
20160209,2016-02-09,2016,1,2,February,9,Tuesday,No
20160210,2016-02-10,2016,1,2,February,10,Wednesday,No
20160211,2016-02-11,2016,1,2,February,11,Thursday,No
20160212,2016-02-12,2016,1,2,February,12,Friday,Yes
20160213,2016-02-13,2016,1,2,February,13,Saturday,No
20160214,2016-02-14,2016,1,2,February,14,Sunday,No
20160215,2016-02-15,2016,1,2,February,15,Monday,No
20160216,2016-02-16,2016,1,2,February,16,Tuesday,No
20160217,2016-02-17,2016,1,2,February,17,Wednesday,No
20160218,2016-02-18,2016,1,2,February,18,Thursday,No
20160219,2016-02-19,2016,1,2,February,19,Friday,Yes
20160220,2016-02-20,2016,1,2,February,20,Saturday,No
20160221,2016-02-21,2016,1,2,February,21,Sunday,No
20160222,2016-02-22,2016,1,2,February,22,Monday,No
20160223,2016-02-23,2016,1,2,February,23,Tuesday,No
20160224,2016-02-24,2016,1,2,February,24,Wednesday,No
20160225,2016-02-25,2016,1,2,February,25,Thursday,No
20160226,2016-02-26,2016,1,2,February,26,Friday,Yes
20160227,2016-02-27,2016,1,2,February,27,Saturday,No
20160228,2016-02-28,2016,1,2,February,28,Sunday,No
20160229,2016-02-29,2016,1,2,February,29,Monday,No
20160301,2016-03-01,2016,1,3,March,1,Tuesday,No
20160302,2016-03-02,2016,1,3,March,2,Wednesday,No
20160303,2016-03-03,2016,1,3,March,3,Thursday,No
20160304,2016-03-04,2016,1,3,March,4,Friday,Yes
20160305,2016-03-05,2016,1,3,March,5,Saturday,No
20160306,2016-03-06,2016,1,3,March,6,Sunday,No
20160307,2016-03-07,2016,1,3,March,7,Monday,No
20160308,2016-03-08,2016,1,3,March,8,Tuesday,No
20160309,2016-03-09,2016,1,3,March,9,Wednesday,No
20160310,2016-03-10,2016,1,3,March,10,Thursday,No
20160311,2016-03-11,2016,1,3,March,11,Friday,Yes
20160312,2016-03-12,2016,1,3,March,12,Saturday,No
20160313,2016-03-13,2016,1,3,March,13,Sunday,No
20160314,2016-03-14,2016,1,3,March,14,Monday,No
20160315,2016-03-15,2016,1,3,March,15,Tuesday,No
20160316,2016-03-16,2016,1,3,March,16,Wednesday,No
20160317,2016-03-17,2016,1,3,March,17,Thursday,No
20160318,2016-03-18,2016,1,3,March,18,Friday,Yes
20160319,2016-03-19,2016,1,3,March,19,Saturday,No
20160320,2016-03-20,2016,1,3,March,20,Sunday,No
20160321,2016-03-21,2016,1,3,March,21,Monday,No
20160322,2016-03-22,2016,1,3,March,22,Tuesday,No
20160323,2016-03-23,2016,1,3,March,23,Wednesday,No
20160324,2016-03-24,2016,1,3,March,24,Thursday,No
20160325,2016-03-25,2016,1,3,March,25,Friday,Yes
20160326,2016-03-26,2016,1,3,March,26,Saturday,No
20160327,2016-03-27,2016,1,3,March,27,Sunday,No
20160328,2016-03-28,2016,1,3,March,28,Monday,No
20160329,2016-03-29,2016,1,3,March,29,Tuesday,No
20160330,2016-03-30,2016,1,3,March,30,Wednesday,No
20160331,2016-03-31,2016,1,3,March,31,Thursday,No
20160401,2016-04-01,2016,2,4,April,1,Friday,Yes
20160402,2016-04-02,2016,2,4,April,2,Saturday,No
20160403,2016-04-03,2016,2,4,April,3,Sunday,No
20160404,2016-04-04,2016,2,4,April,4,Monday,No
20160405,2016-04-05,2016,2,4,April,5,Tuesday,No
20160406,2016-04-06,2016,2,4,April,6,Wednesday,No
20160407,2016-04-07,2016,2,4,April,7,Thursday,No
20160408,2016-04-08,2016,2,4,April,8,Friday,Yes
20160409,2016-04-09,2016,2,4,April,9,Saturday,No
20160410,2016-04-10,2016,2,4,April,10,Sunday,No
20160411,2016-04-11,2016,2,4,April,11,Monday,No
20160412,2016-04-12,2016,2,4,April,12,Tuesday,No
20160413,2016-04-13,2016,2,4,April,13,Wednesday,No
20160414,2016-04-14,2016,2,4,April,14,Thursday,No
20160415,2016-04-15,2016,2,4,April,15,Friday,Yes
20160416,2016-04-16,2016,2,4,April,16,Saturday,No
20160417,2016-04-17,2016,2,4,April,17,Sunday,No
20160418,2016-04-18,2016,2,4,April,18,Monday,No
20160419,2016-04-19,2016,2,4,April,19,Tuesday,No
20160420,2016-04-20,2016,2,4,April,20,Wednesday,No
20160421,2016-04-21,2016,2,4,April,21,Thursday,No
20160422,2016-04-22,2016,2,4,April,22,Friday,Yes
20160423,2016-04-23,2016,2,4,April,23,Saturday,No
20160424,2016-04-24,2016,2,4,April,24,Sunday,No
20160425,2016-04-25,2016,2,4,April,25,Monday,No
20160426,2016-04-26,2016,2,4,April,26,Tuesday,No
20160427,2016-04-27,2016,2,4,April,27,Wednesday,No
20160428,2016-04-28,2016,2,4,April,28,Thursday,No
20160429,2016-04-29,2016,2,4,April,29,Friday,Yes
20160430,2016-04-30,2016,2,4,April,30,Saturday,No
20160501,2016-05-01,2016,2,5,May,1,Sunday,No
20160502,2016-05-02,2016,2,5,May,2,Monday,No
20160503,2016-05-03,2016,2,5,May,3,Tuesday,No
20160504,2016-05-04,2016,2,5,May,4,Wednesday,No
20160505,2016-05-05,2016,2,5,May,5,Thursday,No
20160506,2016-05-06,2016,2,5,May,6,Friday,Yes
20160507,2016-05-07,2016,2,5,May,7,Saturday,No
20160508,2016-05-08,2016,2,5,May,8,Sunday,No
20160509,2016-05-09,2016,2,5,May,9,Monday,No
20160510,2016-05-10,2016,2,5,May,10,Tuesday,No
20160511,2016-05-11,2016,2,5,May,11,Wednesday,No
20160512,2016-05-12,2016,2,5,May,12,Thursday,No
20160513,2016-05-13,2016,2,5,May,13,Friday,Yes
20160514,2016-05-14,2016,2,5,May,14,Saturday,No
20160515,2016-05-15,2016,2,5,May,15,Sunday,No
20160516,2016-05-16,2016,2,5,May,16,Monday,No
20160517,2016-05-17,2016,2,5,May,17,Tuesday,No
20160518,2016-05-18,2016,2,5,May,18,Wednesday,No
20160519,2016-05-19,2016,2,5,May,19,Thursday,No
20160520,2016-05-20,2016,2,5,May,20,Friday,Yes
20160521,2016-05-21,2016,2,5,May,21,Saturday,No
20160522,2016-05-22,2016,2,5,May,22,Sunday,No
20160523,2016-05-23,2016,2,5,May,23,Monday,No
20160524,2016-05-24,2016,2,5,May,24,Tuesday,No
20160525,2016-05-25,2016,2,5,May,25,Wednesday,No
20160526,2016-05-26,2016,2,5,May,26,Thursday,No
20160527,2016-05-27,2016,2,5,May,27,Friday,Yes
20160528,2016-05-28,2016,2,5,May,28,Saturday,No
20160529,2016-05-29,2016,2,5,May,29,Sunday,No
20160530,2016-05-30,2016,2,5,May,30,Monday,No
20160531,2016-05-31,2016,2,5,May,31,Tuesday,No
20160601,2016-06-01,2016,2,6,June,1,Wednesday,No
20160602,2016-06-02,2016,2,6,June,2,Thursday,No
20160603,2016-06-03,2016,2,6,June,3,Friday,Yes
20160604,2016-06-04,2016,2,6,June,4,Saturday,No
20160605,2016-06-05,2016,2,6,June,5,Sunday,No
20160606,2016-06-06,2016,2,6,June,6,Monday,No
20160607,2016-06-07,2016,2,6,June,7,Tuesday,No
20160608,2016-06-08,2016,2,6,June,8,Wednesday,No
20160609,2016-06-09,2016,2,6,June,9,Thursday,No
20160610,2016-06-10,2016,2,6,June,10,Friday,Yes
20160611,2016-06-11,2016,2,6,June,11,Saturday,No
20160612,2016-06-12,2016,2,6,June,12,Sunday,No
20160613,2016-06-13,2016,2,6,June,13,Monday,No
20160614,2016-06-14,2016,2,6,June,14,Tuesday,No
20160615,2016-06-15,2016,2,6,June,15,Wednesday,No
20160616,2016-06-16,2016,2,6,June,16,Thursday,No
20160617,2016-06-17,2016,2,6,June,17,Friday,Yes
20160618,2016-06-18,2016,2,6,June,18,Saturday,No
20160619,2016-06-19,2016,2,6,June,19,Sunday,No
20160620,2016-06-20,2016,2,6,June,20,Monday,No
20160621,2016-06-21,2016,2,6,June,21,Tuesday,No
20160622,2016-06-22,2016,2,6,June,22,Wednesday,No
20160623,2016-06-23,2016,2,6,June,23,Thursday,No
20160624,2016-06-24,2016,2,6,June,24,Friday,Yes
20160625,2016-06-25,2016,2,6,June,25,Saturday,No
20160626,2016-06-26,2016,2,6,June,26,Sunday,No
20160627,2016-06-27,2016,2,6,June,27,Monday,No
20160628,2016-06-28,2016,2,6,June,28,Tuesday,No
20160629,2016-06-29,2016,2,6,June,29,Wednesday,No
20160630,2016-06-30,2016,2,6,June,30,Thursday,No
20160701,2016-07-01,2016,3,7,July,1,Friday,Yes
20160702,2016-07-02,2016,3,7,July,2,Saturday,No
20160703,2016-07-03,2016,3,7,July,3,Sunday,No
20160704,2016-07-04,2016,3,7,July,4,Monday,No
20160705,2016-07-05,2016,3,7,July,5,Tuesday,No
20160706,2016-07-06,2016,3,7,July,6,Wednesday,No
20160707,2016-07-07,2016,3,7,July,7,Thursday,No
20160708,2016-07-08,2016,3,7,July,8,Friday,Yes
20160709,2016-07-09,2016,3,7,July,9,Saturday,No
20160710,2016-07-10,2016,3,7,July,10,Sunday,No
20160711,2016-07-11,2016,3,7,July,11,Monday,No
20160712,2016-07-12,2016,3,7,July,12,Tuesday,No
20160713,2016-07-13,2016,3,7,July,13,Wednesday,No
20160714,2016-07-14,2016,3,7,July,14,Thursday,No
20160715,2016-07-15,2016,3,7,July,15,Friday,Yes
20160716,2016-07-16,2016,3,7,July,16,Saturday,No
20160717,2016-07-17,2016,3,7,July,17,Sunday,No
20160718,2016-07-18,2016,3,7,July,18,Monday,No
20160719,2016-07-19,2016,3,7,July,19,Tuesday,No
20160720,2016-07-20,2016,3,7,July,20,Wednesday,No
20160721,2016-07-21,2016,3,7,July,21,Thursday,No
20160722,2016-07-22,2016,3,7,July,22,Friday,Yes
20160723,2016-07-23,2016,3,7,July,23,Saturday,No
20160724,2016-07-24,2016,3,7,July,24,Sunday,No
20160725,2016-07-25,2016,3,7,July,25,Monday,No
20160726,2016-07-26,2016,3,7,July,26,Tuesday,No
20160727,2016-07-27,2016,3,7,July,27,Wednesday,No
20160728,2016-07-28,2016,3,7,July,28,Thursday,No
20160729,2016-07-29,2016,3,7,July,29,Friday,Yes
20160730,2016-07-30,2016,3,7,July,30,Saturday,No
20160731,2016-07-31,2016,3,7,July,31,Sunday,No
20160801,2016-08-01,2016,3,8,August,1,Monday,No
20160802,2016-08-02,2016,3,8,August,2,Tuesday,No
20160803,2016-08-03,2016,3,8,August,3,Wednesday,No
20160804,2016-08-04,2016,3,8,August,4,Thursday,No
20160805,2016-08-05,2016,3,8,August,5,Friday,Yes
20160806,2016-08-06,2016,3,8,August,6,Saturday,No
20160807,2016-08-07,2016,3,8,August,7,Sunday,No
20160808,2016-08-08,2016,3,8,August,8,Monday,No
20160809,2016-08-09,2016,3,8,August,9,Tuesday,No
20160810,2016-08-10,2016,3,8,August,10,Wednesday,No
20160811,2016-08-11,2016,3,8,August,11,Thursday,No
20160812,2016-08-12,2016,3,8,August,12,Friday,Yes
20160813,2016-08-13,2016,3,8,August,13,Saturday,No
20160814,2016-08-14,2016,3,8,August,14,Sunday,No
20160815,2016-08-15,2016,3,8,August,15,Monday,No
20160816,2016-08-16,2016,3,8,August,16,Tuesday,No
20160817,2016-08-17,2016,3,8,August,17,Wednesday,No
20160818,2016-08-18,2016,3,8,August,18,Thursday,No
20160819,2016-08-19,2016,3,8,August,19,Friday,Yes
20160820,2016-08-20,2016,3,8,August,20,Saturday,No
20160821,2016-08-21,2016,3,8,August,21,Sunday,No
20160822,2016-08-22,2016,3,8,August,22,Monday,No
20160823,2016-08-23,2016,3,8,August,23,Tuesday,No
20160824,2016-08-24,2016,3,8,August,24,Wednesday,No
20160825,2016-08-25,2016,3,8,August,25,Thursday,No
20160826,2016-08-26,2016,3,8,August,26,Friday,Yes
20160827,2016-08-27,2016,3,8,August,27,Saturday,No
20160828,2016-08-28,2016,3,8,August,28,Sunday,No
20160829,2016-08-29,2016,3,8,August,29,Monday,No
20160830,2016-08-30,2016,3,8,August,30,Tuesday,No
20160831,2016-08-31,2016,3,8,August,31,Wednesday,No
20160901,2016-09-01,2016,3,9,September,1,Thursday,No
20160902,2016-09-02,2016,3,9,September,2,Friday,Yes
20160903,2016-09-03,2016,3,9,September,3,Saturday,No
20160904,2016-09-04,2016,3,9,September,4,Sunday,No
20160905,2016-09-05,2016,3,9,September,5,Monday,No
20160906,2016-09-06,2016,3,9,September,6,Tuesday,No
20160907,2016-09-07,2016,3,9,September,7,Wednesday,No
20160908,2016-09-08,2016,3,9,September,8,Thursday,No
20160909,2016-09-09,2016,3,9,September,9,Friday,Yes
20160910,2016-09-10,2016,3,9,September,10,Saturday,No
20160911,2016-09-11,2016,3,9,September,11,Sunday,No
20160912,2016-09-12,2016,3,9,September,12,Monday,No
20160913,2016-09-13,2016,3,9,September,13,Tuesday,No
20160914,2016-09-14,2016,3,9,September,14,Wednesday,No
20160915,2016-09-15,2016,3,9,September,15,Thursday,No
20160916,2016-09-16,2016,3,9,September,16,Friday,Yes
20160917,2016-09-17,2016,3,9,September,17,Saturday,No
20160918,2016-09-18,2016,3,9,September,18,Sunday,No
20160919,2016-09-19,2016,3,9,September,19,Monday,No
20160920,2016-09-20,2016,3,9,September,20,Tuesday,No
20160921,2016-09-21,2016,3,9,September,21,Wednesday,No
20160922,2016-09-22,2016,3,9,September,22,Thursday,No
20160923,2016-09-23,2016,3,9,September,23,Friday,Yes
20160924,2016-09-24,2016,3,9,September,24,Saturday,No
20160925,2016-09-25,2016,3,9,September,25,Sunday,No
20160926,2016-09-26,2016,3,9,September,26,Monday,No
20160927,2016-09-27,2016,3,9,September,27,Tuesday,No
20160928,2016-09-28,2016,3,9,September,28,Wednesday,No
20160929,2016-09-29,2016,3,9,September,29,Thursday,No
20160930,2016-09-30,2016,3,9,September,30,Friday,Yes
20161001,2016-10-01,2016,4,10,October,1,Saturday,No
20161002,2016-10-02,2016,4,10,October,2,Sunday,No
20161003,2016-10-03,2016,4,10,October,3,Monday,No
20161004,2016-10-04,2016,4,10,October,4,Tuesday,No
20161005,2016-10-05,2016,4,10,October,5,Wednesday,No
20161006,2016-10-06,2016,4,10,October,6,Thursday,No
20161007,2016-10-07,2016,4,10,October,7,Friday,Yes
20161008,2016-10-08,2016,4,10,October,8,Saturday,No
20161009,2016-10-09,2016,4,10,October,9,Sunday,No
20161010,2016-10-10,2016,4,10,October,10,Monday,No
20161011,2016-10-11,2016,4,10,October,11,Tuesday,No
20161012,2016-10-12,2016,4,10,October,12,Wednesday,No
20161013,2016-10-13,2016,4,10,October,13,Thursday,No
20161014,2016-10-14,2016,4,10,October,14,Friday,Yes
20161015,2016-10-15,2016,4,10,October,15,Saturday,No
20161016,2016-10-16,2016,4,10,October,16,Sunday,No
20161017,2016-10-17,2016,4,10,October,17,Monday,No
20161018,2016-10-18,2016,4,10,October,18,Tuesday,No
20161019,2016-10-19,2016,4,10,October,19,Wednesday,No
20161020,2016-10-20,2016,4,10,October,20,Thursday,No
20161021,2016-10-21,2016,4,10,October,21,Friday,Yes
20161022,2016-10-22,2016,4,10,October,22,Saturday,No
20161023,2016-10-23,2016,4,10,October,23,Sunday,No
20161024,2016-10-24,2016,4,10,October,24,Monday,No
20161025,2016-10-25,2016,4,10,October,25,Tuesday,No
