sales_key,order_id,item_id,customer_id,product_id,store_id,staff_id,order_status,order_date_key,required_date_key,shipped_date_key,is_late,latency_days,is_local,quantity,list_price_egp,discount,gross_amount,net_amount
1,1,5,259,4,1,2,Completed,20160101,20160103,20160103,0,0,0,1,152360.48,0.2,152360.48,121888.384
2,1,2,259,8,1,2,Completed,20160101,20160103,20160103,0,0,0,2,94568.37,0.07,189136.74,182516.9541
3,1,3,259,10,1,2,Completed,20160101,20160103,20160103,0,0,0,2,81381.79,0.05,162763.58,158694.49049999999
4,1,4,259,16,1,2,Completed,20160101,20160103,20160103,0,0,0,2,31522.44,0.05,63044.88,61468.757999999994
5,1,1,259,20,1,2,Completed,20160101,20160103,20160103,0,0,0,1,31522.44,0.2,31522.44,25217.951999999997
6,2,2,1212,16,2,6,Completed,20160101,20160104,20160103,0,0,0,4,31522.44,0.05,126089.76,124513.63799999999
7,2,1,1212,20,2,6,Completed,20160101,20160104,20160103,0,0,0,1,31522.44,0.07,31522.44,29315.869199999997
8,3,1,523,3,2,7,Completed,20160102,20160105,20160103,0,0,0,2,52537.75,0.05,105075.5,102448.6125
9,3,2,523,20,2,7,Completed,20160102,20160105,20160103,0,0,0,1,31522.44,0.05,31522.44,29946.318
10,4,1,175,2,1,3,Completed,20160103,20160104,20160105,1,1,0,2,39403.18,0.1,78806.36,74866.042
11,5,1,1324,10,2,6,Completed,20160103,20160106,20160106,0,0,0,2,81381.79,0.05,162763.58,158694.49049999999
12,5,2,1324,17,2,6,Completed,20160103,20160106,20160106,0,0,0,1,22538.92,0.07,22538.92,20961.1956
13,5,3,1324,26,2,6,Completed,20160103,20160106,20160106,0,0,0,1,31522.44,0.07,31522.44,29315.869199999997
14,6,4,94,3,2,6,Completed,20160104,20160107,20160105,0,0,0,2,52537.75,0.07,105075.5,101397.8575
15,6,5,94,9,2,6,Completed,20160104,20160107,20160105,0,0,0,4,157614.31,0.07,630457.24,619424.2383
16,6,2,94,12,2,6,Completed,20160104,20160107,20160105,0,0,0,2,28895.53,0.05,57791.06,56346.2835
17,6,1,94,18,2,6,Completed,20160104,20160107,20160105,0,0,0,1,23589.69,0.07,23589.69,21938.411699999997
