order_id,product_id,quantity,list_price,list_price_egp,discount,item_id,extraction_timestamp,extraction_date,data_source
1,4,1,2899.99,152360.48,0.2,5,1714563465,2024-05-01 11:37:45,SQL-Server
1,8,2,1799.99,94568.37,0.07,2,1714563465,2024-05-01 11:37:45,SQL-Server
1,10,2,1549.0,81381.79,0.05,3,1714563465,2024-05-01 11:37:45,SQL-Server
1,16,2,599.99,31522.44,0.05,4,1714563465,2024-05-01 11:37:45,SQL-Server
1,20,1,599.99,31522.44,0.2,1,1714563465,2024-05-01 11:37:45,SQL-Server
2,16,4,599.99,31522.44,0.05,2,1714563465,2024-05-01 11:37:45,SQL-Server
2,20,1,599.99,31522.44,0.07,1,1714563465,2024-05-01 11:37:45,SQL-Server
3,3,2,999.99,52537.75,0.05,1,1714563465,2024-05-01 11:37:45,SQL-Server
3,20,1,599.99,31522.44,0.05,2,1714563465,2024-05-01 11:37:45,SQL-Server
4,2,2,749.99,39403.18,0.1,1,1714563465,2024-05-01 11:37:45,SQL-Server
5,10,2,1549.0,81381.79,0.05,1,1714563465,2024-05-01 11:37:45,SQL-Server
5,17,1,429.0,22538.92,0.07,2,1714563465,2024-05-01 11:37:45,SQL-Server
5,26,1,599.99,31522.44,0.07,3,1714563465,2024-05-01 11:37:45,SQL-Server
6,3,2,999.99,52537.75,0.07,4,1714563465,2024-05-01 11:37:45,SQL-Server
6,9,4,2999.99,157614.31,0.07,5,1714563465,2024-05-01 11:37:45,SQL-Server
6,12,2,549.99,28895.53,0.05,2,1714563465,2024-05-01 11:37:45,SQL-Server
6,18,1,449.0,23589.69,0.07,1,1714563465,2024-05-01 11:37:45,SQL-Server
6,20,1,599.99,31522.44,0.1,3,1714563465,2024-05-01 11:37:45,SQL-Server
7,3,2,999.99,52537.75,0.1,2,1714563465,2024-05-01 11:37:45,SQL-Server
7,15,2,529.99,27844.76,0.07,1,1714563465,2024-05-01 11:37:45,SQL-Server
7,17,4,429.0,22538.92,0.1,3,1714563465,2024-05-01 11:37:45,SQL-Server
8,20,2,599.99,31522.44,0.07,2,1714563465,2024-05-01 11:37:45,SQL-Server
8,22,1,269.99,14184.81,0.05,1,1714563465,2024-05-01 11:37:45,SQL-Server
9,7,2,3999.99,210152.58,0.1,1,1714563465,2024-05-01 11:37:45,SQL-Server
10,14,1,269.99,14184.81,0.1,1,1714563465,2024-05-01 11:37:45,SQL-Server
11,8,1,1799.99,94568.37,0.05,1,1714563465,2024-05-01 11:37:45,SQL-Server
11,16,2,599.99,31522.44,0.2,3,1714563465,2024-05-01 11:37:45,SQL-Server
11,22,2,269.99,14184.81,0.1,2,1714563465,2024-05-01 11:37:45,SQL-Server
12,4,2,2899.99,152360.48,0.1,1,1714563465,2024-05-01 11:37:45,SQL-Server
12,11,1,1680.99,88316.32,0.05,2,1714563465,2024-05-01 11:37:45,SQL-Server
13,13,1,269.99,14184.81,0.1,1,1714563465,2024-05-01 11:37:45,SQL-Server
13,16,2,599.99,31522.44,0.05,4,1714563465,2024-05-01 11:37:45,SQL-Server
13,17,2,429.0,22538.92,0.05,2,1714563465,2024-05-01 11:37:45,SQL-Server
13,20,2,599.99,31522.44,0.1,3,1714563465,2024-05-01 11:37:45,SQL-Server
14,6,1,469.99,24692.46,0.07,1,1714563465,2024-05-01 11:37:45,SQL-Server
15,8,1,1799.99,94568.37,0.07,2,1714563465,2024-05-01 11:37:45,SQL-Server
15,12,2,549.99,28895.53,0.07,1,1714563465,2024-05-01 11:37:45,SQL-Server
15,18,2,449.0,23589.69,0.05,3,1714563465,2024-05-01 11:37:45,SQL-Server
15,23,2,299.99,15760.96,0.2,4,1714563465,2024-05-01 11:37:45,SQL-Server
16,8,1,1799.99,94568.37,0.2,1,1714563465,2024-05-01 11:37:45,SQL-Server
16,13,2,269.99,14184.81,0.07,3,1714563465,2024-05-01 11:37:45,SQL-Server
16,14,1,269.99,14184.81,0.07,4,1714563465,2024-05-01 11:37:45,SQL-Server
16,21,1,269.99,14184.81,0.05,2,1714563465,2024-05-01 11:37:45,SQL-Server
17,5,1,1320.99,69402.54,0.1,3,1714563465,2024-05-01 11:37:45,SQL-Server
17,8,1,1799.99,94568.37,0.07,1,1714563465,2024-05-01 11:37:45,SQL-Server
17,20,2,599.99,31522.44,0.2,4,1714563465,2024-05-01 11:37:45,SQL-Server
17,23,1,299.99,15760.96,0.1,2,1714563465,2024-05-01 11:37:45,SQL-Server
18,2,2,749.99,39403.18,0.2,1,1714563465,2024-05-01 11:37:45,SQL-Server
18,7,1,3999.99,210152.58,0.1,3,1714563465,2024-05-01 11:37:45,SQL-Server
18,9,2,2999.99,157614.31,0.1,5,1714563465,2024-05-01 11:37:45,SQL-Server
18,22,1,269.99,14184.81,0.05,2,1714563465,2024-05-01 11:37:45,SQL-Server
18,25,2,499.99,26268.61,0.05,4,1714563465,2024-05-01 11:37:45,SQL-Server
19,9,2,2999.99,157614.31,0.2,2,1714563465,2024-05-01 11:37:45,SQL-Server
19,10,1,1549.0,81381.79,0.07,1,1714563465,2024-05-01 11:37:45,SQL-Server
20,9,1,2999.99,157614.31,0.07,1,1714563465,2024-05-01 11:37:45,SQL-Server
20,10,2,1549.0,81381.79,0.07,2,1714563465,2024-05-01 11:37:45,SQL-Server
21,10,1,1549.0,81381.79,0.07,3,1714563465,2024-05-01 11:37:45,SQL-Server
21,14,1,269.99,14184.81,0.05,1,1714563465,2024-05-01 11:37:45,SQL-Server
21,17,1,429.0,22538.92,0.1,2,1714563465,2024-05-01 11:37:45,SQL-Server
22,15,2,529.99,27844.76,0.2,1,1714563465,2024-05-01 11:37:45,SQL-Server
22,22,1,269.99,14184.81,0.05,2,1714563465,2024-05-01 11:37:45,SQL-Server
23,4,2,2899.99,152360.48,0.05,1,1714563465,2024-05-01 11:37:45,SQL-Server
23,13,1,269.99,14184.81,0.2,3,1714563465,2024-05-01 11:37:45,SQL-Server
23,23,2,299.99,15760.96,0.1,2,1714563465,2024-05-01 11:37:45,SQL-Server
24,3,2,999.99,52537.75,0.1,1,1714563465,2024-05-01 11:37:45,SQL-Server
24,18,2,449.0,23589.69,0.07,2,1714563465,2024-05-01 11:37:45,SQL-Server
25,10,2,1549.0,81381.79,0.2,2,1714563465,2024-05-01 11:37:45,SQL-Server
25,14,1,269.99,14184.81,0.2,4,1714563465,2024-05-01 11:37:45,SQL-Server
25,21,1,269.99,14184.81,0.1,5,1714563465,2024-05-01 11:37:45,SQL-Server
25,22,1,269.99,14184.81,0.2,3,1714563465,2024-05-01 11:37:45,SQL-Server
25,23,2,299.99,15760.96,0.2,1,1714563465,2024-05-01 11:37:45,SQL-Server
26,2,1,749.99,39403.18,0.2,2,1714563465,2024-05-01 11:37:45,SQL-Server
26,7,1,3999.99,210152.58,0.05,1,1714563465,2024-05-01 11:37:45,SQL-Server
26,12,1,549.99,28895.53,0.2,3,1714563465,2024-05-01 11:37:45,SQL-Server
26,21,2,269.99,14184.81,0.07,4,1714563465,2024-05-01 11:37:45,SQL-Server
27,5,1,1320.99,69402.54,0.2,1,1714563465,2024-05-01 11:37:45,SQL-Server
27,8,1,1799.99,94568.37,0.07,4,1714563465,2024-05-01 11:37:45,SQL-Server
27,19,1,449.0,23589.69,0.2,2,1714563465,2024-05-01 11:37:45,SQL-Server
27,26,2,599.99,31522.44,0.07,3,1714563465,2024-05-01 11:37:45,SQL-Server
28,5,1,1320.99,69402.54,0.05,1,1714563465,2024-05-01 11:37:45,SQL-Server
28,6,1,469.99,24692.46,0.05,4,1714563465,2024-05-01 11:37:45,SQL-Server
28,7,2,3999.99,210152.58,0.2,2,1714563465,2024-05-01 11:37:45,SQL-Server
28,14,2,269.99,14184.81,0.1,3,1714563465,2024-05-01 11:37:45,SQL-Server
29,6,1,469.99,24692.46,0.2,2,1714563465,2024-05-01 11:37:45,SQL-Server
29,8,1,1799.99,94568.37,0.2,4,1714563465,2024-05-01 11:37:45,SQL-Server
29,14,2,269.99,14184.81,0.05,5,1714563465,2024-05-01 11:37:45,SQL-Server
29,21,2,269.99,14184.81,0.1,3,1714563465,2024-05-01 11:37:45,SQL-Server
29,24,2,549.99,28895.53,0.05,1,1714563465,2024-05-01 11:37:45,SQL-Server
30,4,1,2899.99,152360.48,0.1,4,1714563465,2024-05-01 11:37:45,SQL-Server
30,7,2,3999.99,210152.58,0.1,5,1714563465,2024-05-01 11:37:45,SQL-Server
30,17,1,429.0,22538.92,0.07,2,1714563465,2024-05-01 11:37:45,SQL-Server
30,19,1,449.0,23589.69,0.1,3,1714563465,2024-05-01 11:37:45,SQL-Server
30,26,1,599.99,31522.44,0.05,1,1714563465,2024-05-01 11:37:45,SQL-Server
31,9,2,2999.99,157614.31,0.2,2,1714563465,2024-05-01 11:37:45,SQL-Server
31,11,2,1680.99,88316.32,0.05,1,1714563465,2024-05-01 11:37:45,SQL-Server
32,8,2,1799.99,94568.37,0.07,1,1714563465,2024-05-01 11:37:45,SQL-Server
32,12,2,549.99,28895.53,0.07,2,1714563465,2024-05-01 11:37:45,SQL-Server
32,25,2,499.99,26268.61,0.1,3,1714563465,2024-05-01 11:37:45,SQL-Server
33,7,1,3999.99,210152.58,0.1,2,1714563465,2024-05-01 11:37:45,SQL-Server
33,23,2,299.99,15760.96,0.07,1,1714563465,2024-05-01 11:37:45,SQL-Server
34,8,2,1799.99,94568.37,0.07,1,1714563465,2024-05-01 11:37:45,SQL-Server
34,10,2,1549.0,81381.79,0.1,2,1714563465,2024-05-01 11:37:45,SQL-Server
34,17,2,429.0,22538.92,0.2,3,1714563465,2024-05-01 11:37:45,SQL-Server
35,5,1,1320.99,69402.54,0.2,3,1714563465,2024-05-01 11:37:45,SQL-Server
35,18,1,449.0,23589.69,0.05,1,1714563465,2024-05-01 11:37:45,SQL-Server
35,20,2,599.99,31522.44,0.05,2,1714563465,2024-05-01 11:37:45,SQL-Server
35,21,2,269.99,14184.81,0.07,4,1714563465,2024-05-01 11:37:45,SQL-Server
35,22,1,269.99,14184.81,0.07,5,1714563465,2024-05-01 11:37:45,SQL-Server
36,3,2,999.99,52537.75,0.2,3,1714563465,2024-05-01 11:37:45,SQL-Server
36,5,1,1320.99,69402.54,0.05,2,1714563465,2024-05-01 11:37:45,SQL-Server
36,9,1,2999.99,157614.31,0.07,1,1714563465,2024-05-01 11:37:45,SQL-Server
37,16,2,599.99,31522.44,0.05,1,1714563465,2024-05-01 11:37:45,SQL-Server
38,7,2,3999.99,210152.58,0.05,1,1714563465,2024-05-01 11:37:45,SQL-Server
38,10,2,1549.0,81381.79,0.1,4,1714563465,2024-05-01 11:37:45,SQL-Server
38,23,1,299.99,15760.96,0.07,2,1714563465,2024-05-01 11:37:45,SQL-Server
38,24,1,549.99,28895.53,0.07,5,1714563465,2024-05-01 11:37:45,SQL-Server
38,25,1,499.99,26268.61,0.2,3,1714563465,2024-05-01 11:37:45,SQL-Server
39,3,2,999.99,52537.75,0.05,3,1714563465,2024-05-01 11:37:45,SQL-Server
39,15,1,529.99,27844.76,0.1,4,1714563465,2024-05-01 11:37:45,SQL-Server
39,16,2,599.99,31522.44,0.2,2,1714563465,2024-05-01 11:37:45,SQL-Server
39,22,2,269.99,14184.81,0.2,1,1714563465,2024-05-01 11:37:45,SQL-Server
40,8,2,1799.99,94568.37,0.2,2,1714563465,2024-05-01 11:37:45,SQL-Server
40,17,1,429.0,22538.92,0.2,1,1714563465,2024-05-01 11:37:45,SQL-Server
41,5,1,1320.99,69402.54,0.1,1,1714563465,2024-05-01 11:37:45,SQL-Server
41,19,2,449.0,23589.69,0.2,2,1714563465,2024-05-01 11:37:45,SQL-Server
41,26,2,599.99,31522.44,0.2,3,1714563465,2024-05-01 11:37:45,SQL-Server
42,19,1,449.0,23589.69,0.05,1,1714563465,2024-05-01 11:37:45,SQL-Server
43,12,2,549.99,28895.53,0.05,2,1714563465,2024-05-01 11:37:45,SQL-Server
43,13,2,269.99,14184.81,0.1,1,1714563465,2024-05-01 11:37:45,SQL-Server
