order_id,customer_id,order_status,status_name,order_date,required_date,shipped_date,Is_Late,latency_days,store_id,staff_id,IS_Local_city,extraction_timestamp,extraction_date,data_source,state
1,259,4,Completed,2016-01-01,2016-01-03,2016-01-03,0,0,1,2,0,1714563448,2024-05-01 11:37:28,SQL-Server,CA
2,1212,4,Completed,2016-01-01,2016-01-04,2016-01-03,0,0,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
3,523,4,Completed,2016-01-02,2016-01-05,2016-01-03,0,0,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
4,175,4,Completed,2016-01-03,2016-01-04,2016-01-05,1,1,1,3,0,1714563448,2024-05-01 11:37:28,SQL-Server,CA
5,1324,4,Completed,2016-01-03,2016-01-06,2016-01-06,0,0,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
6,94,4,Completed,2016-01-04,2016-01-07,2016-01-05,0,0,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
7,324,4,Completed,2016-01-04,2016-01-07,2016-01-05,0,0,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
8,1204,4,Completed,2016-01-04,2016-01-05,2016-01-05,0,0,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
9,60,4,Completed,2016-01-05,2016-01-08,2016-01-08,0,0,1,2,0,1714563448,2024-05-01 11:37:28,SQL-Server,CA
10,442,4,Completed,2016-01-05,2016-01-06,2016-01-06,0,0,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
11,1326,4,Completed,2016-01-05,2016-01-08,2016-01-07,0,0,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
12,91,4,Completed,2016-01-06,2016-01-08,2016-01-09,1,1,1,2,0,1714563448,2024-05-01 11:37:28,SQL-Server,CA
13,873,4,Completed,2016-01-08,2016-01-11,2016-01-11,0,0,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
14,258,4,Completed,2016-01-09,2016-01-11,2016-01-12,1,1,1,3,0,1714563448,2024-05-01 11:37:28,SQL-Server,CA
15,450,4,Completed,2016-01-09,2016-01-10,2016-01-12,1,2,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
16,552,4,Completed,2016-01-12,2016-01-15,2016-01-15,0,0,1,3,0,1714563448,2024-05-01 11:37:28,SQL-Server,CA
17,1175,4,Completed,2016-01-12,2016-01-14,2016-01-14,0,0,1,3,0,1714563448,2024-05-01 11:37:28,SQL-Server,CA
18,541,4,Completed,2016-01-14,2016-01-17,2016-01-15,0,0,1,3,0,1714563448,2024-05-01 11:37:28,SQL-Server,CA
19,696,4,Completed,2016-01-14,2016-01-17,2016-01-16,0,0,1,2,0,1714563448,2024-05-01 11:37:28,SQL-Server,CA
20,923,4,Completed,2016-01-14,2016-01-16,2016-01-17,1,1,1,2,0,1714563448,2024-05-01 11:37:28,SQL-Server,CA
21,1250,4,Completed,2016-01-15,2016-01-16,2016-01-18,1,2,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
22,1035,4,Completed,2016-01-16,2016-01-18,2016-01-17,0,0,1,2,0,1714563448,2024-05-01 11:37:28,SQL-Server,CA
23,1149,4,Completed,2016-01-16,2016-01-19,2016-01-19,0,0,1,2,0,1714563448,2024-05-01 11:37:28,SQL-Server,CA
24,636,4,Completed,2016-01-18,2016-01-20,2016-01-19,0,0,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
25,657,4,Completed,2016-01-18,2016-01-21,2016-01-21,0,0,2,6,1,1714563448,2024-05-01 11:37:28,SQL-Server,NY
26,1280,4,Completed,2016-01-18,2016-01-21,2016-01-19,0,0,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
27,57,4,Completed,2016-01-19,2016-01-21,2016-01-20,0,0,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
28,252,4,Completed,2016-01-19,2016-01-20,2016-01-21,1,1,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
29,437,4,Completed,2016-01-20,2016-01-22,2016-01-21,0,0,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
30,1348,4,Completed,2016-01-20,2016-01-21,2016-01-21,0,0,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
31,1238,4,Completed,2016-01-20,2016-01-22,2016-01-22,0,0,3,8,0,1714563448,2024-05-01 11:37:28,SQL-Server,TX
32,1259,4,Completed,2016-01-21,2016-01-24,2016-01-22,0,0,1,3,0,1714563448,2024-05-01 11:37:28,SQL-Server,CA
33,236,4,Completed,2016-01-21,2016-01-22,2016-01-22,0,0,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
34,80,4,Completed,2016-01-22,2016-01-25,2016-01-23,0,0,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
35,813,4,Completed,2016-01-22,2016-01-25,2016-01-24,0,0,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
36,1321,4,Completed,2016-01-23,2016-01-24,2016-01-24,0,0,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
37,164,4,Completed,2016-01-25,2016-01-28,2016-01-26,0,0,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
38,583,4,Completed,2016-01-25,2016-01-27,2016-01-26,0,0,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
39,1296,4,Completed,2016-01-25,2016-01-26,2016-01-26,0,0,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
40,348,4,Completed,2016-01-27,2016-01-28,2016-01-29,1,1,1,3,0,1714563448,2024-05-01 11:37:28,SQL-Server,CA
41,979,4,Completed,2016-01-27,2016-01-30,2016-01-29,0,0,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
42,1095,4,Completed,2016-01-27,2016-01-28,2016-01-30,1,2,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
43,1434,4,Completed,2016-01-27,2016-01-28,2016-01-30,1,2,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
44,861,4,Completed,2016-01-28,2016-01-31,2016-01-30,0,0,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
45,1220,4,Completed,2016-01-28,2016-01-31,2016-01-31,0,0,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
46,746,4,Completed,2016-01-29,2016-01-31,2016-01-31,0,0,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
47,1234,4,Completed,2016-01-29,2016-01-30,2016-01-31,1,1,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
48,1012,4,Completed,2016-01-30,2016-02-01,2016-02-02,1,1,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
49,608,4,Completed,2016-01-31,2016-02-01,2016-02-02,1,1,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
50,872,4,Completed,2016-01-31,2016-02-03,2016-02-02,0,0,3,8,0,1714563448,2024-05-01 11:37:28,SQL-Server,TX
51,1047,4,Completed,2016-02-01,2016-02-02,2016-02-03,1,1,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
52,767,4,Completed,2016-02-03,2016-02-04,2016-02-05,1,1,1,2,0,1714563448,2024-05-01 11:37:28,SQL-Server,CA
53,965,4,Completed,2016-02-03,2016-02-04,2016-02-05,1,1,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
54,535,4,Completed,2016-02-04,2016-02-07,2016-02-07,0,0,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
55,1173,4,Completed,2016-02-04,2016-02-07,2016-02-06,0,0,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
56,1241,4,Completed,2016-02-04,2016-02-06,2016-02-07,1,1,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
57,1305,4,Completed,2016-02-04,2016-02-06,2016-02-06,0,0,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
58,504,4,Completed,2016-02-05,2016-02-07,2016-02-07,0,0,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
59,563,4,Completed,2016-02-05,2016-02-07,2016-02-06,0,0,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
60,151,4,Completed,2016-02-06,2016-02-08,2016-02-07,0,0,1,3,0,1714563448,2024-05-01 11:37:28,SQL-Server,CA
61,277,4,Completed,2016-02-06,2016-02-09,2016-02-09,0,0,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
62,208,4,Completed,2016-02-07,2016-02-10,2016-02-10,0,0,1,2,0,1714563448,2024-05-01 11:37:28,SQL-Server,CA
63,1075,4,Completed,2016-02-07,2016-02-09,2016-02-09,0,0,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
64,1185,4,Completed,2016-02-07,2016-02-08,2016-02-09,1,1,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
65,996,4,Completed,2016-02-08,2016-02-09,2016-02-11,1,2,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
66,1253,4,Completed,2016-02-09,2016-02-12,2016-02-12,0,0,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
67,526,4,Completed,2016-02-09,2016-02-11,2016-02-10,0,0,3,8,0,1714563448,2024-05-01 11:37:28,SQL-Server,TX
68,381,4,Completed,2016-02-10,2016-02-11,2016-02-13,1,2,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
69,1413,4,Completed,2016-02-10,2016-02-12,2016-02-11,0,0,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
71,797,4,Completed,2016-02-11,2016-02-14,2016-02-12,0,0,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
72,1386,4,Completed,2016-02-12,2016-02-15,2016-02-13,0,0,1,2,0,1714563448,2024-05-01 11:37:28,SQL-Server,CA
73,612,4,Completed,2016-02-12,2016-02-15,2016-02-14,0,0,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
74,264,4,Completed,2016-02-13,2016-02-15,2016-02-15,0,0,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
75,587,4,Completed,2016-02-14,2016-02-15,2016-02-17,1,2,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
77,385,4,Completed,2016-02-16,2016-02-19,2016-02-19,0,0,1,2,0,1714563448,2024-05-01 11:37:28,SQL-Server,CA
78,1182,4,Completed,2016-02-16,2016-02-18,2016-02-19,1,1,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
79,529,4,Completed,2016-02-17,2016-02-20,2016-02-20,0,0,1,3,0,1714563448,2024-05-01 11:37:28,SQL-Server,CA
80,397,4,Completed,2016-02-17,2016-02-20,2016-02-19,0,0,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
81,521,4,Completed,2016-02-17,2016-02-19,2016-02-18,0,0,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
82,1223,4,Completed,2016-02-18,2016-02-21,2016-02-20,0,0,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
83,393,4,Completed,2016-02-19,2016-02-20,2016-02-20,0,0,1,3,0,1714563448,2024-05-01 11:37:28,SQL-Server,CA
84,317,4,Completed,2016-02-20,2016-02-22,2016-02-21,0,0,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
85,1174,4,Completed,2016-02-20,2016-02-23,2016-02-21,0,0,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
86,276,4,Completed,2016-02-21,2016-02-22,2016-02-23,1,1,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
87,516,4,Completed,2016-02-21,2016-02-22,2016-02-23,1,1,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
88,1069,4,Completed,2016-02-21,2016-02-22,2016-02-23,1,1,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
89,668,4,Completed,2016-02-21,2016-02-24,2016-02-24,0,0,3,8,0,1714563448,2024-05-01 11:37:28,SQL-Server,TX
90,414,4,Completed,2016-02-23,2016-02-25,2016-02-24,0,0,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
91,648,4,Completed,2016-02-25,2016-02-27,2016-02-28,1,1,1,2,0,1714563448,2024-05-01 11:37:28,SQL-Server,CA
92,1309,4,Completed,2016-02-25,2016-02-28,2016-02-28,0,0,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
93,1328,4,Completed,2016-02-26,2016-02-28,2016-02-27,0,0,1,3,0,1714563448,2024-05-01 11:37:28,SQL-Server,CA
94,929,4,Completed,2016-02-27,2016-02-28,2016-02-29,1,1,1,2,0,1714563448,2024-05-01 11:37:28,SQL-Server,CA
95,218,4,Completed,2016-02-27,2016-02-29,2016-02-28,0,0,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
96,1094,4,Completed,2016-02-27,2016-02-29,2016-02-28,0,0,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
97,204,4,Completed,2016-02-28,2016-02-29,2016-03-01,1,1,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
98,1194,4,Completed,2016-02-28,2016-02-29,2016-02-29,0,0,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
99,1165,4,Completed,2016-02-29,2016-03-01,2016-03-03,1,2,3,9,0,1714563448,2024-05-01 11:37:28,SQL-Server,TX
100,1237,4,Completed,2016-03-01,2016-03-04,2016-03-03,0,0,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
101,271,4,Completed,2016-03-01,2016-03-04,2016-03-04,0,0,3,8,0,1714563448,2024-05-01 11:37:28,SQL-Server,TX
102,336,4,Completed,2016-03-02,2016-03-05,2016-03-03,0,0,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
103,991,4,Completed,2016-03-03,2016-03-06,2016-03-05,0,0,1,2,0,1714563448,2024-05-01 11:37:28,SQL-Server,CA
104,7,4,Completed,2016-03-03,2016-03-05,2016-03-05,0,0,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
105,306,4,Completed,2016-03-03,2016-03-05,2016-03-04,0,0,2,7,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
106,422,4,Completed,2016-03-04,2016-03-05,2016-03-05,0,0,3,9,0,1714563448,2024-05-01 11:37:28,SQL-Server,TX
107,633,4,Completed,2016-03-06,2016-03-09,2016-03-09,0,0,1,2,0,1714563448,2024-05-01 11:37:28,SQL-Server,CA
108,12,4,Completed,2016-03-06,2016-03-09,2016-03-07,0,0,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
109,1255,4,Completed,2016-03-06,2016-03-09,2016-03-09,0,0,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
110,677,4,Completed,2016-03-06,2016-03-08,2016-03-09,1,1,3,9,0,1714563448,2024-05-01 11:37:28,SQL-Server,TX
111,630,4,Completed,2016-03-07,2016-03-10,2016-03-10,0,0,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
112,469,4,Completed,2016-03-08,2016-03-11,2016-03-10,0,0,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
113,1078,4,Completed,2016-03-08,2016-03-11,2016-03-11,0,0,2,6,0,1714563448,2024-05-01 11:37:28,SQL-Server,NY
